time,seconds_elapsed,z,y,x
1782661144328852000,0.06785205078125,-0.02007676661014557,0.050096794962882996,0.1837494820356369
1782661144338923000,0.077923095703125,0.004793659318238497,0.049383942037820816,0.22066810727119446
1782661144348993800,0.087993896484375,0.0291764959692955,0.039395757019519806,0.22765304148197174
1782661144359064800,0.09806494140625,0.05445048213005066,0.013084686361253262,0.207831472158432
1782661144369134800,0.108134765625,0.07940057665109634,-0.03750551864504814,0.15713581442832947
1782661144379206000,0.118205810546875,0.09909354150295258,-0.10247299820184708,0.10154318064451218
1782661144389277000,0.12827685546875,0.10932141542434692,-0.1575509011745453,0.05761859938502312
1782661144399347700,0.13834765625,0.11617403477430344,-0.18299907445907593,0.04585379362106323
1782661144409418000,0.14841796875,0.10061558336019516,-0.19034859538078308,0.06044551730155945
1782661144419489000,0.158489013671875,0.08745784312486649,-0.1782117784023285,0.08835618197917938
1782661144429560000,0.16856005859375,0.06808867305517197,-0.14066387712955475,0.12014713138341904
1782661144439631000,0.178631103515625,0.049127742648124695,-0.09041903913021088,0.14109010994434357
1782661144449702000,0.188701904296875,0.027693022042512894,-0.050559502094984055,0.14983274042606354
1782661144459772000,0.19877197265625,0.016445042565464973,-0.023663213476538658,0.13964365422725677
1782661144469843000,0.208843017578125,0.004449366591870785,-0.011471261270344257,0.11245332658290863
1782661144479914000,0.2189140625,0.005014999769628048,-0.010703952983021736,0.06934408843517303
1782661144489984800,0.22898486328125,0.008732239715754986,-0.019077729433774948,0.010997694917023182
1782661144500054800,0.2390546875,0.018634852021932602,-0.0329933762550354,-0.039618704468011856
1782661144510125800,0.249125732421875,0.026426995173096657,-0.04623860865831375,-0.07419346272945404
1782661144520196000,0.259196044921875,0.0345463864505291,-0.049179691821336746,-0.09293529391288757
1782661144530267000,0.269266845703125,0.03209175169467926,-0.054773662239313126,-0.09946243464946747
1782661144540338000,0.279337890625,0.028880104422569275,-0.04321606457233429,-0.0912955105304718
1782661144550408200,0.289408203125,0.026339447125792503,-0.025723354890942574,-0.07778236269950867
1782661144560479200,0.299479248046875,0.025316737592220306,-0.011125657707452774,-0.05893049016594887
1782661144570550300,0.30955029296875,0.023091133683919907,0.001167760230600834,-0.041231919080019
1782661144580621000,0.31962109375,0.022809889167547226,0.004413382615894079,-0.028643816709518433
1782661144590691000,0.329691162109375,0.021913204342126846,0.007320488803088665,-0.02266768366098404
1782661144600762000,0.33976220703125,0.02457403764128685,0.004200988449156284,-0.02294362150132656
1782661144610833200,0.349833251953125,0.026357024908065796,0.0034505093935877085,-0.02036248706281185
1782661144620904200,0.359904296875,0.025440918281674385,-0.0030010445043444633,-0.025891099125146866
1782661144630975000,0.36997509765625,0.026638008654117584,-0.006640786305069923,-0.030217669904232025
1782661144641045000,0.380044921875,0.0294476430863142,-0.007082072086632252,-0.027288192883133888
1782661144651116000,0.390115966796875,0.03821796923875809,-0.001294224406592548,-0.02224629744887352
1782661144661187000,0.40018701171875,0.04464030638337135,0.007208467926830053,-0.013329166918992996
1782661144671258000,0.410258056640625,0.045855771750211716,0.007004735991358757,-0.00697086937725544
1782661144681328000,0.420328125,0.047003306448459625,0.020636433735489845,0.003904572455212474
1782661144691399200,0.430399169921875,0.04861371964216232,0.03738532215356827,0.016729291528463364
1782661144701470200,0.44047021484375,0.05019594356417656,0.04545249044895172,0.015846693888306618
1782661144711541200,0.450541259765625,0.05892738327383995,0.04136134311556816,0.020654497668147087
1782661144721612300,0.4606123046875,0.06626728177070618,0.03299030661582947,0.020512577146291733
1782661144731682000,0.47068212890625,0.06752163171768188,0.02680857665836811,0.020901132375001907
1782661144741753000,0.480753173828125,0.06188192218542099,0.027753060683608055,0.022235875949263573
1782661144751824100,0.49082421875,0.05550365149974823,0.032496947795152664,0.02426999807357788
1782661144761895200,0.500895263671875,0.044744960963726044,0.02702959068119526,0.01925622671842575
