time,seconds_elapsed,z,y,x
1782813399533556700,0.086556640625,-0.011148586001992224,-0.008951012025633826,0.004930264042993076
1782813399543626800,0.096626708984375,0.008156418448686599,0.0058980541958007955,-0.010712550938595087
1782813399553696800,0.10669677734375,-0.003363338953256607,-0.025088127029919995,-0.015593091805058065
1782813399563765800,0.116765869140625,-0.006955810487270355,0.0016404698165599257,0.003305877711554058
1782813399573835800,0.126835693359375,-0.0002209492743015289,-0.009096987234428524,-0.005983796250494197
1782813399583905800,0.13690576171875,-0.003959551280736923,-0.0017880981263238935,-0.0071380580192664635
1782813399593975800,0.146975830078125,0.0033744448691606518,-0.005936742238374427,0.0056364144347957335
1782813399604044800,0.157044921875,-0.0014145429730415343,-0.02386390986405313,-0.002259044672898017
1782813399614114800,0.16711474609375,0.0020277064353227616,0.008839779336657375,-0.0005187631770968437
1782813399624184800,0.177184814453125,-0.013534604355692863,0.0014982757337391375,-0.0077283908785204395
1782813399634253800,0.18725390625,-0.007402385210990905,-0.002481532883737236,0.0009331252648029476
1782813399644323800,0.19732373046875,0.00007774141132831573,-0.023142472854861987,-0.002651224611548241
1782813399654393600,0.2073935546875,-0.0045639469146728515,-0.0032906847089994697,-0.006939886832353658
1782813399664464000,0.2174638671875,-0.007408230429887771,0.013717632772400975,-0.01037006906030001
1782813399674532900,0.227532958984375,-0.005763385832309722,-0.01192001789906062,0.0016601951470482162
1782813399684602600,0.2376025390625,0.001567103186249733,-0.019300721001205966,-0.004811007877765223
1782813399694673000,0.2476728515625,-0.01279752225279808,-0.013616839279048144,-0.0035640993894776327
1782813399704742700,0.25774267578125,0.0000713116705417633,-0.0031500158629845826,0.0008252923925989307
1782813399714812000,0.26781201171875,0.01294131463766098,-0.012679403165308759,-0.0009117947824066504
1782813399724882000,0.2778818359375,-0.004120294800400734,-0.0017056166077964007,-0.001993130595574621
1782813399734951700,0.28795166015625,-0.01324935767352581,0.009761369427293538,0.005932826398371253
1782813399745021700,0.298021728515625,-0.005018120422959327,-0.004540273778140544,0.00028842273665359244
1782813399755090700,0.308090576171875,0.003063479223847389,-0.005671670694556087,0.0015806248215259984
1782813399765160700,0.31816064453125,-0.015792027893662453,-0.007815130730345845,-0.006442892529070377
