time,seconds_elapsed,z,y,x
1782811633823314200,0.079314208984375,-0.3791665732860565,-0.5008796453475952,0.3839583098888397
1782811633833386200,0.08938623046875,-0.4128119647502899,-0.44219881296157837,0.4666544198989868
1782811633843457300,0.099457275390625,-0.42778822779655457,-0.36837679147720337,0.5330281257629395
1782811633853529000,0.109529052734375,-0.4157281816005707,-0.2936616539955139,0.5614966154098511
1782811633863601200,0.11960107421875,-0.3656160235404968,-0.2744477391242981,0.5580430626869202
1782811633873673200,0.129673095703125,-0.2853080630302429,-0.29573336243629456,0.5788682699203491
1782811633883745300,0.139745361328125,-0.1676964908838272,-0.28338348865509033,0.6541579961776733
1782811633893817000,0.149817138671875,-0.06588535010814667,-0.1929498016834259,0.7735905051231384
1782811633903889200,0.15988916015625,-0.05005338788032532,-0.09333053976297379,0.8498498201370239
1782811633913961200,0.169961181640625,-0.062183234840631485,-0.08942964673042297,0.8406932950019836
1782811633924033300,0.180033203125,-0.1033349260687828,-0.04813121259212494,0.7373732924461365
1782811633934105000,0.19010498046875,-0.17232751846313477,0.0655500665307045,0.5679843425750732
1782811633944177200,0.20017724609375,-0.24684329330921173,0.1570480316877365,0.40946632623672485
1782811633954249200,0.210249267578125,-0.3148057162761688,0.23559322953224182,0.30919700860977173
1782811633964320300,0.2203203125,-0.3634296953678131,0.30896463990211487,0.2699612081050873
1782811633974392000,0.23039208984375,-0.3893721401691437,0.4467311501502991,0.2590026557445526
1782811633984464100,0.240464111328125,-0.360882967710495,0.635930597782135,0.22006990015506744
1782811633994536200,0.2505361328125,-0.26953545212745667,0.8636298179626465,0.13605350255966187
1782811634004608300,0.260608154296875,-0.09002001583576202,1.1353139877319336,0.009738709777593613
1782811634014680000,0.27068017578125,0.04626071825623512,1.3061429262161255,-0.03251710906624794
1782811634024752000,0.280752197265625,0.17333024740219116,1.2610583305358887,0.02014024555683136
1782811634034824200,0.29082421875,0.21185767650604248,1.1480989456176758,0.10731133818626404
1782811634044896000,0.30089599609375,0.0652482658624649,1.031281590461731,0.17227967083454132
1782811634054968000,0.310968017578125,-0.18945513665676117,0.8442850112915039,0.17472901940345764
1782811634065040100,0.3210400390625,-0.4600999355316162,0.6166585087776184,0.12089348584413528
1782811634075112200,0.3311123046875,-0.6709023118019104,0.4036944508552551,0.04627253860235214
1782811634085183200,0.341183349609375,-0.7808660864830017,0.30354148149490356,-0.007750748656690121
1782811634095255000,0.351255126953125,-0.8245313167572021,0.3879663646221161,-0.030453316867351532
1782811634105327000,0.3613271484375,-0.8407936692237854,0.5398712158203125,-0.02694779820740223
1782811634115399200,0.371399169921875,-0.8580471277236938,0.681964635848999,-0.01005608681589365
1782811634125471200,0.38147119140625,-0.8615782260894775,0.7860808968544006,-0.040870193392038345
1782811634135543000,0.39154296875,-0.792640209197998,0.9157987236976624,-0.1313437670469284
1782811634145615000,0.401614990234375,-0.6459391713142395,1.1129709482192993,-0.2594008147716522
1782811634155687200,0.411687255859375,-0.44559499621391296,1.2900758981704712,-0.37792786955833435
1782811634165759000,0.421759033203125,-0.2340175062417984,1.378808856010437,-0.449754923582077
1782811634175831300,0.431831298828125,-0.05233965814113617,1.3955799341201782,-0.4433402419090271
1782811634185903400,0.4419033203125,0.06527405977249146,1.36469304561615,-0.3455710709095001
1782811634195975400,0.451975341796875,0.08704729378223419,1.3674066066741943,-0.17066647112369537
1782811634206047200,0.462047119140625,0.026842545717954636,1.4506417512893677,0.01640995591878891
1782811634216118000,0.472117919921875,0.09267411381006241,1.3527164459228516,0.16335128247737885
1782811634226190000,0.482190185546875,0.2877301573753357,0.9660965800285339,0.3155336380004883
1782811634236262100,0.49226220703125,0.4390958845615387,0.5847596526145935,0.47133246064186096
1782811634246334200,0.502334228515625,0.5096585154533386,0.17449040710926056,0.5314445495605469
1782811634256406300,0.51240625,0.5072255730628967,0.02359764836728573,0.43277761340141296
1782811634266478300,0.522478271484375,0.556298553943634,-0.07752709835767746,0.18012885749340057
