time,seconds_elapsed,z,y,x
1782663520770452700,0.07745263671875,-0.1012578959941864,-0.19616364648267626,-0.2119597660295665
1782663520780522800,0.087522705078125,0.01916179658770561,-0.15251023658663035,-0.12585589228644967
1782663520790591700,0.097591796875,0.10421265414655208,-0.11928338202834128,-0.03971183266341686
1782663520800661800,0.107661865234375,0.13248130177557468,-0.08289075691550969,0.07975538149923085
1782663520810731800,0.117731689453125,0.13352350430488585,-0.04001140013188124,0.10051160767152904
1782663520820800800,0.12780078125,0.11246727227270603,-0.018367869731038808,0.13240472940802572
1782663520830870800,0.137870849609375,0.08194237014949321,0.0013376783445477485,0.13035773375034332
1782663520840940800,0.14794091796875,0.025931729114055634,0.012911796282231807,0.1055231522232294
1782663520851009800,0.158009765625,-0.13819792585670948,0.027244857539236545,0.04891498368605971
1782663520861079800,0.168079833984375,-0.28525720356106754,0.04899959322959185,0.012904489758610724
1782663520871149800,0.17814990234375,-0.3094944037169218,0.07825885933116078,0.01795446662455797
1782663520881218600,0.188218505859375,-0.2373410216540098,0.03411313587352633,0.05109539646506309
1782663520891288800,0.198288818359375,-0.17965864801406858,0.04539952291101217,0.02068520676270127
1782663520901358800,0.20835888671875,-0.09119242905378341,0.13587474360615015,0.01161065055578947
1782663520911427800,0.218427734375,0.013553309056162833,0.2017313636124134,0.07746683217063546
1782663520921497900,0.228497802734375,0.11706804406642914,0.2644685364238918,0.1491547886788845
1782663520931567600,0.238567626953125,0.21812895618379113,0.38980098935812707,0.2802380602248013
1782663520941636900,0.248636962890625,0.28645430439114566,0.3336801659464836,0.30926936278939243
1782663520951707000,0.258706787109375,0.1507318287372589,0.20375293256789445,0.30487448883131146
1782663520961776600,0.268776611328125,0.16833587448894977,0.31368659470975396,0.29973449559435245
1782663520971846000,0.278845947265625,0.29368425564467904,0.24751031429506837,0.32360476213395595
1782663520981915600,0.28891552734375,0.3421715154379606,0.07506006328985095,0.2436686172403395
1782663520991986000,0.29898583984375,0.38484219790697094,0.032920199761912225,0.2499050274118781
1782663521002054700,0.3090546875,0.2636491828650236,-0.04015351201631129,0.18214783448129893
1782663521012124700,0.319124755859375,0.09057985011339187,-0.1294922029621899,0.0022610767997801305
1782663521022195000,0.32919482421875,-0.03979775738120079,-0.18200674551017582,-0.062381637372076505
1782663521032263700,0.339263671875,-0.07255728668868541,-0.18787877934873104,-0.05606047152653336
